epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.4291,1.39416,0.82178,0.94438,0.6066,0.4333,0.45621,0.23898,1.52896,1.15995,1.0862,0.067739,0.000997763,0.000997763
2,180.044,1.38318,0.81117,0.94049,0.60424,0.45314,0.455,0.23219,1.53763,1.19146,1.08962,0.0354055,0.00199764,0.00199764
3,261.186,1.39133,0.81544,0.9431,0.59995,0.45522,0.47366,0.24843,1.49813,1.11113,1.06784,0.0030716,0.00299703,0.00299703
4,355.725,1.39342,0.81432,0.94331,0.55914,0.43431,0.4461,0.23899,1.49325,1.13229,1.06543,0.00299835,0.00299835,0.00299835
5,448.452,1.38832,0.81324,0.94246,0.56275,0.44576,0.447,0.23586,1.50758,1.20271,1.07042,0.00299707,0.00299707,0.00299707
6,1122.84,1.39191,0.81554,0.94323,0.54837,0.48256,0.44799,0.23232,1.53306,1.21284,1.08901,0.00299542,0.00299542,0.00299542
7,1203.78,1.39734,0.81668,0.94423,0.5322,0.45815,0.45174,0.23695,1.53078,1.19019,1.08384,0.00299341,0.00299341,0.00299341
8,1323.16,1.3858,0.81135,0.94246,0.58773,0.4503,0.46524,0.24672,1.5029,1.12369,1.07836,0.00299103,0.00299103,0.00299103
9,1413.79,1.38733,0.8106,0.94423,0.58068,0.47048,0.46682,0.24158,1.53024,1.17183,1.10016,0.00298829,0.00298829,0.00298829
10,2843.11,1.39218,0.81607,0.9442,0.55667,0.46949,0.45068,0.22989,1.52671,1.14079,1.08754,0.00298519,0.00298519,0.00298519
11,3273.71,1.39239,0.8177,0.94707,0.51969,0.46936,0.45977,0.23226,1.52755,1.16518,1.08108,0.00298172,0.00298172,0.00298172
12,3371.84,1.38643,0.80958,0.94066,0.56281,0.47736,0.45966,0.2352,1.51544,1.14588,1.07417,0.00297789,0.00297789,0.00297789
13,3490.65,1.38961,0.81134,0.9419,0.60256,0.44939,0.44736,0.2323,1.51236,1.15579,1.06961,0.0029737,0.0029737,0.0029737
14,3618.81,1.38531,0.80781,0.94092,0.58686,0.43588,0.45083,0.23157,1.51974,1.12534,1.07284,0.00296915,0.00296915,0.00296915
15,3690.91,1.38534,0.80713,0.94063,0.60375,0.45004,0.46585,0.24106,1.51219,1.12871,1.07262,0.00296424,0.00296424,0.00296424
16,4219.18,1.38957,0.80972,0.94289,0.52337,0.49315,0.46078,0.23971,1.50576,1.13083,1.06437,0.00295897,0.00295897,0.00295897
17,4312.35,1.38633,0.80772,0.93991,0.54546,0.44259,0.44661,0.23413,1.52496,1.12561,1.08567,0.00295335,0.00295335,0.00295335
18,4614.19,1.37922,0.80587,0.94139,0.57222,0.47811,0.46635,0.24016,1.51567,1.14601,1.08452,0.00294737,0.00294737,0.00294737
19,4722.15,1.38536,0.80871,0.94163,0.54422,0.47033,0.44717,0.23396,1.51301,1.1702,1.07517,0.00294104,0.00294104,0.00294104
20,4835.41,1.38308,0.805,0.94045,0.59058,0.47381,0.47585,0.24663,1.49868,1.1737,1.07418,0.00293435,0.00293435,0.00293435
21,4925.29,1.38499,0.80918,0.94191,0.5543,0.48693,0.46814,0.24768,1.50318,1.15002,1.07472,0.00292732,0.00292732,0.00292732
