epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4039.31,1.39103,0.82588,0.94657,0.55698,0.46868,0.44579,0.23128,1.49126,1.07692,1.06485,0.0017823,0.0017823,0.0017823
43,4134.19,1.38615,0.82178,0.94492,0.54735,0.4725,0.4681,0.24443,1.49814,1.09705,1.07204,0.0017526,0.0017526,0.0017526
44,4229.07,1.37807,0.81432,0.94307,0.56796,0.4497,0.45582,0.24142,1.48941,1.09077,1.05931,0.0017229,0.0017229,0.0017229
45,4323.69,1.37846,0.81563,0.94147,0.53668,0.45646,0.44629,0.23317,1.50424,1.09864,1.07826,0.0016932,0.0016932,0.0016932
46,4419.08,1.3832,0.81998,0.94436,0.55996,0.45151,0.44483,0.23644,1.4954,1.06541,1.07025,0.0016635,0.0016635,0.0016635
47,4513.65,1.38297,0.81909,0.94487,0.58187,0.44627,0.45484,0.23776,1.49895,1.07502,1.07687,0.0016338,0.0016338,0.0016338
48,4609.76,1.37524,0.81329,0.94179,0.5498,0.44654,0.4426,0.23257,1.50542,1.06026,1.08101,0.0016041,0.0016041,0.0016041
49,4706.28,1.37617,0.81178,0.943,0.57305,0.44364,0.44819,0.23785,1.49116,1.06613,1.07037,0.0015744,0.0015744,0.0015744
50,4803.71,1.38314,0.8149,0.94402,0.54506,0.47834,0.44819,0.23528,1.49545,1.10964,1.07576,0.0015447,0.0015447,0.0015447
51,4901.01,1.37541,0.81181,0.94292,0.57762,0.45402,0.45643,0.23619,1.47515,1.08707,1.06631,0.001515,0.001515,0.001515
52,4997.66,1.37438,0.80906,0.94293,0.5722,0.46097,0.44676,0.23237,1.49423,1.10187,1.08052,0.0014853,0.0014853,0.0014853
53,5094.48,1.37688,0.80802,0.9421,0.54598,0.45907,0.44351,0.23674,1.4824,1.09471,1.07016,0.0014556,0.0014556,0.0014556
54,5191.89,1.37114,0.80508,0.93923,0.54126,0.47068,0.45116,0.23807,1.49464,1.10579,1.08002,0.0014259,0.0014259,0.0014259
55,5288.96,1.37163,0.806,0.93827,0.58399,0.44536,0.45983,0.24326,1.48515,1.10384,1.06609,0.0013962,0.0013962,0.0013962
56,5385.86,1.36786,0.8023,0.93846,0.56322,0.46236,0.46396,0.23992,1.48835,1.08217,1.0761,0.0013665,0.0013665,0.0013665
57,5482.96,1.3641,0.79931,0.93863,0.53059,0.45222,0.46211,0.2429,1.49661,1.07592,1.08114,0.0013368,0.0013368,0.0013368
58,5579.82,1.36864,0.80309,0.93748,0.61181,0.44269,0.46518,0.24551,1.49516,1.07099,1.07397,0.0013071,0.0013071,0.0013071
59,5676.7,1.35943,0.79837,0.93933,0.56396,0.45501,0.46713,0.24094,1.48306,1.0841,1.07351,0.0012774,0.0012774,0.0012774
60,5772.5,1.36589,0.79791,0.93841,0.53085,0.46627,0.46194,0.24127,1.48532,1.08431,1.08033,0.0012477,0.0012477,0.0012477
61,5868.22,1.36085,0.79747,0.93668,0.55909,0.46291,0.46385,0.24092,1.48598,1.08656,1.0811,0.001218,0.001218,0.001218
62,5965.92,1.36045,0.8005,0.93827,0.59012,0.45912,0.46659,0.24452,1.4815,1.08654,1.06884,0.0011883,0.0011883,0.0011883
63,6062.85,1.3604,0.79572,0.93748,0.58417,0.45444,0.46491,0.24427,1.47227,1.0668,1.06963,0.0011586,0.0011586,0.0011586
64,6160.22,1.35471,0.79262,0.9375,0.54419,0.46971,0.46584,0.24512,1.46518,1.07668,1.05952,0.0011289,0.0011289,0.0011289
65,6256.8,1.36082,0.79531,0.93738,0.55216,0.45973,0.45714,0.23786,1.48105,1.07455,1.07473,0.0010992,0.0010992,0.0010992
66,6354.04,1.35734,0.79108,0.93484,0.55882,0.44998,0.4527,0.2395,1.47414,1.09122,1.07153,0.0010695,0.0010695,0.0010695
67,6450.96,1.35055,0.78547,0.93418,0.5594,0.45108,0.45334,0.23711,1.47323,1.07277,1.06617,0.0010398,0.0010398,0.0010398
68,6548.06,1.35257,0.78957,0.93586,0.54939,0.45155,0.45431,0.2404,1.46412,1.09187,1.05631,0.0010101,0.0010101,0.0010101
69,6644.28,1.34889,0.78618,0.93288,0.53595,0.46749,0.45784,0.23883,1.46842,1.08643,1.05861,0.0009804,0.0009804,0.0009804
70,6739.32,1.35427,0.7892,0.93433,0.58556,0.45409,0.45751,0.24036,1.47453,1.08238,1.06266,0.0009507,0.0009507,0.0009507
71,6834.4,1.34548,0.78071,0.93455,0.55102,0.48635,0.4557,0.2406,1.47646,1.0768,1.06604,0.000921,0.000921,0.000921
72,6929.56,1.345,0.78271,0.93396,0.57569,0.47563,0.46061,0.24456,1.47963,1.06093,1.0656,0.0008913,0.0008913,0.0008913
73,7024.38,1.34637,0.78236,0.93302,0.55533,0.48714,0.46967,0.24511,1.47291,1.06725,1.06323,0.0008616,0.0008616,0.0008616
74,7120.2,1.35283,0.7844,0.93455,0.5989,0.469,0.47273,0.24523,1.47224,1.06121,1.05999,0.0008319,0.0008319,0.0008319
75,7215.56,1.34466,0.77725,0.93184,0.60626,0.45773,0.47338,0.24733,1.46947,1.07697,1.06247,0.0008022,0.0008022,0.0008022
76,7310.57,1.34803,0.78105,0.93206,0.57914,0.45747,0.47003,0.24745,1.47284,1.07721,1.06588,0.0007725,0.0007725,0.0007725
77,7405.04,1.34174,0.78116,0.93405,0.60427,0.45404,0.473,0.24718,1.47676,1.0656,1.06617,0.0007428,0.0007428,0.0007428
78,7500.51,1.34129,0.77631,0.93387,0.64167,0.45115,0.47369,0.24699,1.47416,1.07472,1.06757,0.0007131,0.0007131,0.0007131
79,7595.55,1.33681,0.77436,0.93199,0.62472,0.4511,0.47323,0.2472,1.47693,1.07624,1.06876,0.0006834,0.0006834,0.0006834
80,7690.78,1.34013,0.77527,0.93097,0.58725,0.45766,0.46877,0.2448,1.4792,1.07297,1.06822,0.0006537,0.0006537,0.0006537
81,7786.28,1.34494,0.77837,0.93273,0.62343,0.44717,0.47005,0.24661,1.47722,1.06791,1.06773,0.000624,0.000624,0.000624
82,7881.32,1.33669,0.77339,0.93078,0.59142,0.46184,0.4714,0.24874,1.47124,1.07119,1.06785,0.0005943,0.0005943,0.0005943
83,7976.75,1.33845,0.77251,0.93079,0.59175,0.46335,0.4716,0.24952,1.46946,1.0683,1.06314,0.0005646,0.0005646,0.0005646
84,8071.84,1.33725,0.77357,0.93046,0.62937,0.44561,0.47126,0.24922,1.47116,1.07228,1.06404,0.0005349,0.0005349,0.0005349
85,8167.03,1.33576,0.77111,0.93086,0.57526,0.47034,0.47129,0.24837,1.46901,1.07194,1.06539,0.0005052,0.0005052,0.0005052
86,8262.4,1.33278,0.76952,0.93006,0.5709,0.4699,0.47337,0.2486,1.46986,1.0664,1.0661,0.0004755,0.0004755,0.0004755
87,8357.62,1.33496,0.77139,0.93071,0.5728,0.46726,0.47333,0.25011,1.47022,1.06232,1.06564,0.0004458,0.0004458,0.0004458
88,8453.03,1.32454,0.76128,0.92828,0.57401,0.46723,0.47592,0.25075,1.4662,1.06174,1.06591,0.0004161,0.0004161,0.0004161
89,8549.32,1.33014,0.76794,0.9287,0.5548,0.4683,0.47276,0.25032,1.46682,1.06483,1.06778,0.0003864,0.0003864,0.0003864
90,8644.75,1.32604,0.76575,0.92794,0.58062,0.46777,0.47093,0.25076,1.46492,1.06953,1.0644,0.0003567,0.0003567,0.0003567
91,8757.88,1.26271,0.70242,0.90954,0.56363,0.46143,0.46556,0.24981,1.46267,1.07146,1.06144,0.000327,0.000327,0.000327
92,8849.25,1.2609,0.69889,0.90775,0.5349,0.47143,0.46166,0.24778,1.46517,1.07599,1.06401,0.0002973,0.0002973,0.0002973
93,8940.35,1.25843,0.698,0.90799,0.54895,0.47383,0.46165,0.2479,1.46568,1.06918,1.06595,0.0002676,0.0002676,0.0002676
94,9033.09,1.25646,0.69673,0.90748,0.56596,0.46498,0.46384,0.24894,1.46724,1.06815,1.06723,0.0002379,0.0002379,0.0002379
95,9128.11,1.25564,0.6965,0.90681,0.57618,0.44892,0.46363,0.24895,1.46966,1.07016,1.06992,0.0002082,0.0002082,0.0002082
96,9223.5,1.25032,0.68989,0.90582,0.53578,0.46522,0.464,0.24868,1.46861,1.06563,1.06897,0.0001785,0.0001785,0.0001785
97,9319.36,1.25164,0.6907,0.9046,0.5356,0.45573,0.46343,0.24878,1.46709,1.06974,1.06729,0.0001488,0.0001488,0.0001488
98,9413.48,1.25117,0.68996,0.90583,0.57608,0.43865,0.46509,0.24944,1.46614,1.07083,1.06646,0.0001191,0.0001191,0.0001191
99,9508.49,1.2506,0.68951,0.90529,0.58632,0.43542,0.46891,0.25046,1.4645,1.06913,1.06519,8.94e-05,8.94e-05,8.94e-05
100,9615.86,1.24633,0.68832,0.90446,0.57438,0.44103,0.46849,0.25016,1.46476,1.06995,1.06561,5.97e-05,5.97e-05,5.97e-05
