epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9182.96,1.46237,0.8755,0.96638,0.54758,0.47286,0.44428,0.23511,1.5015,1.17309,1.07064,0.00126043,0.00126043,0.00126043
43,9391.54,1.45956,0.87542,0.96934,0.52278,0.48834,0.44075,0.23349,1.50877,1.20367,1.07033,0.001218,0.001218,0.001218
44,9600.46,1.46288,0.87849,0.96844,0.57771,0.4713,0.4506,0.23701,1.51133,1.19214,1.07045,0.00117557,0.00117557,0.00117557
45,9806.94,1.45318,0.86583,0.96565,0.57778,0.46408,0.45254,0.23841,1.50371,1.1907,1.06993,0.00113314,0.00113314,0.00113314
46,10013.1,1.46048,0.87399,0.96615,0.58371,0.46905,0.45582,0.2398,1.50892,1.19528,1.07333,0.00109071,0.00109071,0.00109071
47,10222.3,1.46108,0.87449,0.96795,0.58092,0.45618,0.44689,0.23288,1.51222,1.1747,1.06838,0.00104829,0.00104829,0.00104829
48,10428.2,1.45521,0.86823,0.96532,0.58112,0.46297,0.45031,0.23618,1.5105,1.17516,1.07141,0.00100586,0.00100586,0.00100586
49,10633.5,1.45203,0.86501,0.9634,0.57949,0.45893,0.44411,0.23512,1.50917,1.19046,1.06821,0.000963429,0.000963429,0.000963429
50,10838.3,1.45404,0.86786,0.96598,0.55301,0.47804,0.44817,0.23586,1.49949,1.18633,1.06624,0.000921,0.000921,0.000921
51,11044.3,1.45009,0.86323,0.96437,0.57216,0.46475,0.45099,0.23689,1.5042,1.19246,1.07112,0.000878571,0.000878571,0.000878571
52,11251.3,1.4618,0.87153,0.96905,0.54123,0.48956,0.44634,0.23436,1.50619,1.17702,1.07105,0.000836143,0.000836143,0.000836143
53,11773.8,1.45027,0.86789,0.96778,0.55189,0.47833,0.44756,0.23556,1.49881,1.17269,1.068,0.000793714,0.000793714,0.000793714
54,11979.3,1.44359,0.86133,0.96569,0.55555,0.48295,0.45176,0.23638,1.50472,1.16514,1.06543,0.000751286,0.000751286,0.000751286
55,12185.5,1.45426,0.86402,0.9638,0.6104,0.44316,0.44651,0.23553,1.51024,1.19626,1.06179,0.000708857,0.000708857,0.000708857
56,12390.3,1.44462,0.85784,0.96421,0.5713,0.47392,0.45206,0.23808,1.51611,1.18367,1.0665,0.000666429,0.000666429,0.000666429
57,12595.8,1.45152,0.86372,0.96399,0.56244,0.47028,0.45121,0.23807,1.50389,1.17421,1.0659,0.000624,0.000624,0.000624
58,12801.5,1.43795,0.85575,0.96146,0.56191,0.46335,0.45222,0.23976,1.4973,1.17257,1.06604,0.000581571,0.000581571,0.000581571
